file;Atime;Btime
1-random/000002_000000000002.dimacs;0.09;0.09
1-random/000002_000000000012.dimacs;0.08;0.08
1-random/000004_000000000004.dimacs;0.07;0.07
1-random/000004_000000000024.dimacs;0.08;0.09
1-random/000006_000000000007.dimacs;0.07;0.08
1-random/000006_000000000036.dimacs;0.09;0.10
1-random/000008_000000000009.dimacs;0.07;0.08
1-random/000008_000000000048.dimacs;0.09;0.16
1-random/000010_000000000012.dimacs;0.07;0.08
1-random/000010_000000000060.dimacs;0.12;0.31
1-random/000012_000000000014.dimacs;0.08;0.07
1-random/000012_000000000072.dimacs;0.15;0.40
1-random/000014_000000000016.dimacs;0.08;0.08
1-random/000014_000000000084.dimacs;0.25;0.52
1-random/000016_000000000019.dimacs;0.08;0.08
1-random/000016_000000000096.dimacs;0.51;1.15
1-random/000018_000000000021.dimacs;0.07;0.09
1-random/000018_000000000108.dimacs;0.55;1.68
1-random/000020_000000000024.dimacs;0.08;0.11
1-random/000020_000000000120.dimacs;2.00;3.47
1-random/000022_000000000026.dimacs;0.11;0.10
1-random/000022_000000000132.dimacs;2.53;3.06
1-random/000024_000000000028.dimacs;0.10;0.09
1-random/000024_000000000144.dimacs;17.61;8.49
1-random/000026_000000000031.dimacs;0.11;0.10
1-random/000026_000000000156.dimacs;32.08;
1-random/000028_000000000033.dimacs;0.10;0.51

