file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.09;2;0;0;0;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.08;12;10;2;4;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.07;4;0;0;0;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.09;24;20;4;24;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.08;7;1;1;1;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.10;36;30;4;17;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.08;9;1;1;1;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.16;48;40;7;118;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.08;12;2;2;2;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.31;60;50;10;306;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.07;14;2;1;2;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.40;72;60;11;575;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.08;16;2;2;2;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.52;84;70;13;473;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.08;19;3;1;2;1;OK;OK;0;
1-random/000016_000000000096.dimacs;1.15;96;80;15;2168;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.09;21;3;2;2;1;OK;OK;0;
1-random/000018_000000000108.dimacs;1.68;108;91;15;2655;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.11;24;4;2;4;1;OK;OK;0;
1-random/000020_000000000120.dimacs;3.47;120;101;18;12344;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.10;26;4;3;4;1;OK;OK;0;
1-random/000022_000000000132.dimacs;3.06;132;112;19;8303;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.09;28;4;4;4;1;OK;OK;0;
1-random/000024_000000000144.dimacs;8.49;144;124;22;22002;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.10;31;6;5;7;1;OK;OK;0;
1-random/000026_000000000156.dimacs;;156;131;0;;0;;;;
2-social-networks/00-karate.graph.dimacs;0.51;34;78;14;583;1;OK;OK;0;
2-social-networks/01-dolphins.graph.dimacs;;62;159;0;;0;;;;
3-medium-sized/vc001.dimacs;;6160;40207;23;;0;;;;

