file;Type;Atime;Btime
1-random/000002_000000000002.dimacs;random;0.16;0.09
1-random/000002_000000000012.dimacs;random;0.10;0.07
1-random/000004_000000000004.dimacs;random;0.10;0.07
1-random/000004_000000000024.dimacs;random;0.08;0.08
1-random/000006_000000000007.dimacs;random;0.10;0.07
1-random/000006_000000000036.dimacs;random;0.11;0.08
1-random/000008_000000000009.dimacs;random;0.10;0.07
1-random/000008_000000000048.dimacs;random;0.11;0.09
1-random/000010_000000000012.dimacs;random;0.10;0.06
1-random/000010_000000000060.dimacs;random;0.11;0.08
1-random/000012_000000000014.dimacs;random;0.10;0.07
1-random/000012_000000000072.dimacs;random;0.11;0.10
1-random/000014_000000000016.dimacs;random;0.10;0.07
1-random/000014_000000000084.dimacs;random;0.10;0.09
1-random/000016_000000000019.dimacs;random;0.10;0.07
1-random/000016_000000000096.dimacs;random;0.13;0.08
1-random/000018_000000000021.dimacs;random;0.11;0.07
1-random/000018_000000000108.dimacs;random;0.12;0.08
1-random/000020_000000000024.dimacs;random;0.09;0.07
1-random/000020_000000000120.dimacs;random;0.12;0.08
1-random/000022_000000000026.dimacs;random;0.11;0.07
1-random/000022_000000000132.dimacs;random;0.12;0.08
1-random/000024_000000000028.dimacs;random;0.10;0.07
1-random/000024_000000000144.dimacs;random;0.11;0.10
1-random/000026_000000000031.dimacs;random;0.10;0.08
1-random/000026_000000000156.dimacs;random;0.12;0.11
1-random/000028_000000000033.dimacs;random;0.13;0.06
1-random/000028_000000000168.dimacs;random;0.12;0.11
1-random/000030_000000000036.dimacs;random;0.31;0.08
1-random/000030_000000000180.dimacs;random;0.14;0.12
1-random/000035_000000000042.dimacs;random;0.12;0.06
1-random/000035_000000000210.dimacs;random;0.13;0.12
1-random/000040_000000000048.dimacs;random;;0.08
1-random/000040_000000000240.dimacs;random;;0.11
1-random/000045_000000000054.dimacs;random;;0.07
1-random/000045_000000000270.dimacs;random;;0.11
1-random/000050_000000000060.dimacs;random;;0.06
1-random/000050_000000000300.dimacs;random;;0.17
1-random/000055_000000000066.dimacs;random;;0.08
1-random/000055_000000000330.dimacs;random;;0.15
1-random/000060_000000000072.dimacs;random;;0.07
1-random/000060_000000000360.dimacs;random;;0.16
1-random/000065_000000000078.dimacs;random;;0.08
1-random/000065_000000000390.dimacs;random;;0.21
1-random/000070_000000000084.dimacs;random;;0.08
1-random/000070_000000000420.dimacs;random;;0.40
1-random/000075_000000000090.dimacs;random;;0.08
1-random/000075_000000000450.dimacs;random;;0.44
1-random/000080_000000000096.dimacs;random;;0.08
1-random/000080_000000000480.dimacs;random;;0.27
1-random/000085_000000000102.dimacs;random;;0.08
1-random/000085_000000000510.dimacs;random;;0.69
1-random/000090_000000000108.dimacs;random;;0.08
1-random/000090_000000000540.dimacs;random;;0.40
1-random/000095_000000000114.dimacs;random;;0.08
1-random/000095_000000000570.dimacs;random;;0.60
1-random/000100_000000000120.dimacs;random;;0.08
1-random/000100_000000000600.dimacs;random;;1.05
1-random/000200_000000000240.dimacs;random;;0.16
1-random/000200_000000001200.dimacs;random;;
2-social-networks/00-karate.graph.dimacs;social-networks;;

