file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.16;2;0;0;;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.10;12;10;2;;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.10;4;0;0;;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.08;24;20;4;;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.10;7;1;1;;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.11;36;30;4;;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.10;9;1;1;;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.11;48;40;7;;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.10;12;2;2;;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.11;60;50;10;;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.10;14;2;1;;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.11;72;60;11;;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.10;16;2;2;;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.10;84;70;13;;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.10;19;3;1;;1;OK;OK;0;
1-random/000016_000000000096.dimacs;0.13;96;80;15;;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.11;21;3;2;;1;OK;OK;0;
1-random/000018_000000000108.dimacs;0.12;108;91;15;;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.09;24;4;2;;1;OK;OK;0;
1-random/000020_000000000120.dimacs;0.12;120;101;18;;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.11;26;4;3;;1;OK;OK;0;
1-random/000022_000000000132.dimacs;0.12;132;112;19;;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.10;28;4;4;;1;OK;OK;0;
1-random/000024_000000000144.dimacs;0.11;144;124;22;;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.10;31;6;5;;1;OK;OK;0;
1-random/000026_000000000156.dimacs;0.12;156;131;23;;1;OK;OK;0;
1-random/000028_000000000033.dimacs;0.13;33;8;4;;1;OK;OK;0;
1-random/000028_000000000168.dimacs;0.12;168;152;26;;1;OK;OK;0;
1-random/000030_000000000036.dimacs;0.31;36;8;5;;1;OK;OK;0;
1-random/000030_000000000180.dimacs;0.14;180;167;27;;1;OK;OK;0;
1-random/000035_000000000042.dimacs;0.12;42;7;6;;1;OK;OK;0;
1-random/000035_000000000210.dimacs;0.13;210;202;26;;1;OK;OK;0;
1-random/000040_000000000048.dimacs;0.12;48;19;7;;1;OK;OK;0;
