file;A-sorted
1-random/000002_000000000002.dimacs;0.13
1-random/000002_000000000012.dimacs;0.21
1-random/000004_000000000004.dimacs;0.27
1-random/000004_000000000024.dimacs;0.36
1-random/000006_000000000007.dimacs;0.44
1-random/000006_000000000036.dimacs;0.54
1-random/000008_000000000009.dimacs;0.62
1-random/000008_000000000048.dimacs;0.71
1-random/000010_000000000012.dimacs;0.79
1-random/000010_000000000060.dimacs;0.88
1-random/000012_000000000014.dimacs;0.95
1-random/000012_000000000072.dimacs;1.04
1-random/000014_000000000016.dimacs;1.12
1-random/000014_000000000084.dimacs;1.24
1-random/000016_000000000019.dimacs;1.32
1-random/000016_000000000096.dimacs;1.44
1-random/000018_000000000021.dimacs;1.52
1-random/000018_000000000108.dimacs;1.64
1-random/000020_000000000024.dimacs;1.72
1-random/000020_000000000120.dimacs;1.84
1-random/000022_000000000026.dimacs;1.92
1-random/000022_000000000132.dimacs;2.04
1-random/000024_000000000028.dimacs;2.13
1-random/000024_000000000144.dimacs;2.26
1-random/000026_000000000031.dimacs;2.33
1-random/000026_000000000156.dimacs;2.45
1-random/000028_000000000033.dimacs;2.53
1-random/000028_000000000168.dimacs;2.64
1-random/000030_000000000036.dimacs;2.73
1-random/000030_000000000180.dimacs;2.86
1-random/000035_000000000042.dimacs;2.95
1-random/000035_000000000210.dimacs;3.07
1-random/000040_000000000048.dimacs;3.16
1-random/000040_000000000240.dimacs;3.35
1-random/000045_000000000054.dimacs;3.44
1-random/000045_000000000270.dimacs;3.58
1-random/000050_000000000060.dimacs;3.66
1-random/000050_000000000300.dimacs;3.89
1-random/000055_000000000066.dimacs;3.98
1-random/000055_000000000330.dimacs;4.17
1-random/000060_000000000072.dimacs;4.25
1-random/000060_000000000360.dimacs;4.45
1-random/000065_000000000078.dimacs;4.54
1-random/000065_000000000390.dimacs;4.77
1-random/000070_000000000084.dimacs;4.86
1-random/000070_000000000420.dimacs;5.11
1-random/000075_000000000090.dimacs;5.2
1-random/000075_000000000450.dimacs;5.55
1-random/000080_000000000096.dimacs;5.63
1-random/000080_000000000480.dimacs;6.01
1-random/000085_000000000102.dimacs;6.11
1-random/000085_000000000510.dimacs;6.48
1-random/000090_000000000108.dimacs;6.62
1-random/000090_000000000540.dimacs;7.04
1-random/000095_000000000114.dimacs;7.19
1-random/000095_000000000570.dimacs;7.68
1-random/000100_000000000120.dimacs;7.76
1-random/000100_000000000600.dimacs;8.29
1-random/000200_000000000240.dimacs;8.41
1-random/000200_000000001200.dimacs;9.84
1-random/000300_000000000360.dimacs;10.06
1-random/000300_000000001800.dimacs;12.36
1-random/000400_000000000480.dimacs;14.17
1-random/000400_000000002400.dimacs;18.7
1-random/000500_000000000600.dimacs;19.24
1-random/000500_000000003000.dimacs;25.13
1-random/000600_000000000720.dimacs;25.73
1-random/000600_000000003600.dimacs;34.76
1-random/000700_000000000840.dimacs;35.39
1-random/000700_000000004200.dimacs;48.63
1-random/000800_000000000960.dimacs;49.47
1-random/000800_000000004800.dimacs;69.82
1-random/000900_000000001080.dimacs;70.84
1-random/000900_000000005400.dimacs;101.33
1-random/001000_000000001200.dimacs;102.8
1-random/001000_000000006000.dimacs;138.71
2-social-networks/00-karate.graph.dimacs;138.84
2-social-networks/01-dolphins.graph.dimacs;139.79
2-social-networks/02-chesapeake.graph.dimacs;139.96
2-social-networks/03-adjnoun.graph.dimacs;279.78
2-social-networks/04-polbooks.graph.dimacs;331.77

