file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.09;2;0;0;0;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.07;12;10;2;2;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.07;4;0;0;0;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.08;24;20;4;4;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.08;7;1;1;1;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.10;36;30;4;4;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.09;9;1;1;1;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.09;48;40;7;7;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.09;12;2;2;2;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.10;60;50;10;10;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.08;14;2;1;1;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.09;72;60;11;11;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.08;16;2;2;2;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.10;84;70;13;13;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.08;19;3;1;1;1;OK;OK;0;
1-random/000016_000000000096.dimacs;0.11;96;80;15;15;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.09;21;3;2;2;1;OK;OK;0;
1-random/000018_000000000108.dimacs;0.10;108;91;15;15;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.08;24;4;2;2;1;OK;OK;0;
1-random/000020_000000000120.dimacs;0.11;120;101;18;18;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.09;26;4;3;3;1;OK;OK;0;
1-random/000022_000000000132.dimacs;0.11;132;112;19;19;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.09;28;4;4;4;1;OK;OK;0;
1-random/000024_000000000144.dimacs;0.12;144;124;22;22;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.08;31;6;5;5;1;OK;OK;0;
1-random/000026_000000000156.dimacs;0.11;156;131;23;23;1;OK;OK;0;
1-random/000028_000000000033.dimacs;0.08;33;8;4;10;1;OK;OK;0;
1-random/000028_000000000168.dimacs;0.11;168;152;26;26;1;OK;OK;0;
1-random/000030_000000000036.dimacs;0.08;36;8;5;5;1;OK;OK;0;
1-random/000030_000000000180.dimacs;0.11;180;167;27;27;1;OK;OK;0;
1-random/000035_000000000042.dimacs;0.07;42;7;6;6;1;OK;OK;0;
1-random/000035_000000000210.dimacs;0.12;210;202;26;26;1;OK;OK;0;
1-random/000040_000000000048.dimacs;0.08;48;19;7;7;1;OK;OK;0;
1-random/000040_000000000240.dimacs;0.15;240;244;35;465;1;OK;OK;0;
1-random/000045_000000000054.dimacs;0.08;54;9;6;6;1;OK;OK;0;
1-random/000045_000000000270.dimacs;0.39;270;291;39;2709;1;OK;OK;0;
1-random/000050_000000000060.dimacs;0.08;60;13;9;188;1;OK;OK;0;
1-random/000050_000000000300.dimacs;1.01;300;339;46;20065;1;OK;OK;0;
1-random/000055_000000000066.dimacs;0.10;66;14;8;8;1;OK;OK;0;
1-random/000055_000000000330.dimacs;0.16;330;399;48;48;1;OK;OK;0;
1-random/000060_000000000072.dimacs;0.09;72;13;10;10;1;OK;OK;0;
1-random/000060_000000000360.dimacs;0.93;360;436;50;9677;1;OK;OK;0;
1-random/000065_000000000078.dimacs;0.11;78;20;11;11;1;OK;OK;0;
1-random/000065_000000000390.dimacs;0.16;390;547;59;59;1;OK;OK;0;
1-random/000070_000000000084.dimacs;0.12;84;21;12;1175;1;OK;OK;0;
1-random/000070_000000000420.dimacs;2.15;420;539;60;58126;1;OK;OK;0;
1-random/000075_000000000090.dimacs;0.13;90;33;13;306;1;OK;OK;0;
1-random/000075_000000000450.dimacs;4.98;450;682;68;147914;1;OK;OK;0;
1-random/000080_000000000096.dimacs;0.13;96;24;13;705;1;OK;OK;0;
1-random/000080_000000000480.dimacs;13.42;480;777;73;261821;1;OK;OK;0;
1-random/000085_000000000102.dimacs;0.14;102;36;16;1336;1;OK;OK;0;
1-random/000085_000000000510.dimacs;0.21;510;843;76;76;1;OK;OK;0;
1-random/000090_000000000108.dimacs;0.18;108;38;17;6082;1;OK;OK;0;
1-random/000090_000000000540.dimacs;19.58;540;825;78;362365;1;OK;OK;0;
1-random/000095_000000000114.dimacs;0.17;114;46;18;3853;1;OK;OK;0;
1-random/000095_000000000570.dimacs;0.24;570;1022;86;86;1;OK;OK;0;
1-random/000100_000000000120.dimacs;0.22;120;51;20;6982;1;OK;OK;0;
1-random/000100_000000000600.dimacs;65.10;600;1151;95;854170;1;OK;OK;0;
1-random/000200_000000000240.dimacs;2.43;240;166;38;298812;1;OK;OK;0;
1-random/000200_000000001200.dimacs;;1200;4537;0;;0;;;;
1-random/000300_000000000360.dimacs;83.28;360;387;58;16241187;1;OK;OK;0;
1-random/000300_000000001800.dimacs;;1800;11129;0;;0;;;;
1-random/000400_000000000480.dimacs;;480;552;0;;0;;;;
1-random/000400_000000002400.dimacs;;2400;18594;0;;0;;;;
1-random/000500_000000000600.dimacs;;600;1271;0;;0;;;;
1-random/000500_000000003000.dimacs;;3000;30730;0;;0;;;;
1-random/000600_000000000720.dimacs;;720;1694;0;;0;;;;
1-random/000600_000000003600.dimacs;;3600;43303;0;;0;;;;
