file;A-sorted
1-random/000002_000000000002.dimacs;0.09
1-random/000002_000000000012.dimacs;0.16
1-random/000004_000000000004.dimacs;0.23
1-random/000004_000000000024.dimacs;0.31
1-random/000006_000000000007.dimacs;0.39
1-random/000006_000000000036.dimacs;0.49
1-random/000008_000000000009.dimacs;0.58
1-random/000008_000000000048.dimacs;0.67
1-random/000010_000000000012.dimacs;0.76
1-random/000010_000000000060.dimacs;0.86
1-random/000012_000000000014.dimacs;0.94
1-random/000012_000000000072.dimacs;1.03
1-random/000014_000000000016.dimacs;1.11
1-random/000014_000000000084.dimacs;1.21
1-random/000016_000000000019.dimacs;1.29
1-random/000016_000000000096.dimacs;1.4
1-random/000018_000000000021.dimacs;1.49
1-random/000018_000000000108.dimacs;1.59
1-random/000020_000000000024.dimacs;1.67
1-random/000020_000000000120.dimacs;1.78
1-random/000022_000000000026.dimacs;1.87
1-random/000022_000000000132.dimacs;1.98
1-random/000024_000000000028.dimacs;2.07
1-random/000024_000000000144.dimacs;2.19
1-random/000026_000000000031.dimacs;2.27
1-random/000026_000000000156.dimacs;2.38
1-random/000028_000000000033.dimacs;2.46
1-random/000028_000000000168.dimacs;2.57
1-random/000030_000000000036.dimacs;2.65
1-random/000030_000000000180.dimacs;2.76
1-random/000035_000000000042.dimacs;2.83
1-random/000035_000000000210.dimacs;2.95
1-random/000040_000000000048.dimacs;3.03
1-random/000040_000000000240.dimacs;3.18
1-random/000045_000000000054.dimacs;3.26
1-random/000045_000000000270.dimacs;3.65
1-random/000050_000000000060.dimacs;3.73
1-random/000050_000000000300.dimacs;4.74
1-random/000055_000000000066.dimacs;4.84
1-random/000055_000000000330.dimacs;5.0
1-random/000060_000000000072.dimacs;5.09
1-random/000060_000000000360.dimacs;6.02
1-random/000065_000000000078.dimacs;6.13
1-random/000065_000000000390.dimacs;6.29
1-random/000070_000000000084.dimacs;6.41
1-random/000070_000000000420.dimacs;8.56
1-random/000075_000000000090.dimacs;8.69
1-random/000075_000000000450.dimacs;13.67
1-random/000080_000000000096.dimacs;13.8
1-random/000080_000000000480.dimacs;27.22
1-random/000085_000000000102.dimacs;27.36
1-random/000085_000000000510.dimacs;27.57
1-random/000090_000000000108.dimacs;27.75
1-random/000090_000000000540.dimacs;47.33
1-random/000095_000000000114.dimacs;47.5
1-random/000095_000000000570.dimacs;47.74
1-random/000100_000000000120.dimacs;47.96
1-random/000100_000000000600.dimacs;113.06
1-random/000200_000000000240.dimacs;115.49
1-random/000300_000000000360.dimacs;198.77

