file;A-sorted
1-random/000002_000000000002.dimacs;0.13
1-random/000002_000000000012.dimacs;0.21
1-random/000004_000000000004.dimacs;0.28
1-random/000004_000000000024.dimacs;0.37
1-random/000006_000000000007.dimacs;0.45
1-random/000006_000000000036.dimacs;0.54
1-random/000008_000000000009.dimacs;0.62
1-random/000008_000000000048.dimacs;0.71
1-random/000010_000000000012.dimacs;0.78
1-random/000010_000000000060.dimacs;0.88
1-random/000012_000000000014.dimacs;0.96
1-random/000012_000000000072.dimacs;1.06
1-random/000014_000000000016.dimacs;1.14
1-random/000014_000000000084.dimacs;1.24
1-random/000016_000000000019.dimacs;1.32
1-random/000016_000000000096.dimacs;1.43
1-random/000018_000000000021.dimacs;1.51
1-random/000018_000000000108.dimacs;1.62
1-random/000020_000000000024.dimacs;1.7
1-random/000020_000000000120.dimacs;1.82
1-random/000022_000000000026.dimacs;1.89
1-random/000022_000000000132.dimacs;2.0
1-random/000024_000000000028.dimacs;2.08
1-random/000024_000000000144.dimacs;2.2
1-random/000026_000000000031.dimacs;2.29
1-random/000026_000000000156.dimacs;2.42
1-random/000028_000000000033.dimacs;2.49
1-random/000028_000000000168.dimacs;2.61
1-random/000030_000000000036.dimacs;2.69
1-random/000030_000000000180.dimacs;2.81
1-random/000035_000000000042.dimacs;2.89
1-random/000035_000000000210.dimacs;3.01
1-random/000040_000000000048.dimacs;3.09
1-random/000040_000000000240.dimacs;3.24
1-random/000045_000000000054.dimacs;3.48
1-random/000045_000000000270.dimacs;3.62
1-random/000050_000000000060.dimacs;3.71
1-random/000050_000000000300.dimacs;3.87
1-random/000055_000000000066.dimacs;3.95
1-random/000055_000000000330.dimacs;4.11
1-random/000060_000000000072.dimacs;4.2
1-random/000060_000000000360.dimacs;4.36
1-random/000065_000000000078.dimacs;4.46
1-random/000065_000000000390.dimacs;4.65
1-random/000070_000000000084.dimacs;4.73
1-random/000070_000000000420.dimacs;4.94
1-random/000075_000000000090.dimacs;5.04
1-random/000075_000000000450.dimacs;5.34
1-random/000080_000000000096.dimacs;5.44
1-random/000080_000000000480.dimacs;5.75
1-random/000085_000000000102.dimacs;5.83
1-random/000085_000000000510.dimacs;6.1
1-random/000090_000000000108.dimacs;6.22
1-random/000090_000000000540.dimacs;6.51
1-random/000095_000000000114.dimacs;6.65
1-random/000095_000000000570.dimacs;7.07
1-random/000100_000000000120.dimacs;7.17
1-random/000100_000000000600.dimacs;7.65
1-random/000200_000000000240.dimacs;7.78
1-random/000200_000000001200.dimacs;8.98
1-random/000300_000000000360.dimacs;9.14
1-random/000300_000000001800.dimacs;11.29
1-random/000400_000000000480.dimacs;13.48
1-random/000400_000000002400.dimacs;17.57
1-random/000500_000000000600.dimacs;18.19
1-random/000500_000000003000.dimacs;23.8
1-random/000600_000000000720.dimacs;24.36
1-random/000600_000000003600.dimacs;32.74
1-random/000700_000000000840.dimacs;33.29
1-random/000700_000000004200.dimacs;47.75
1-random/000800_000000000960.dimacs;48.55
1-random/000800_000000004800.dimacs;67.68
1-random/000900_000000001080.dimacs;68.6
1-random/000900_000000005400.dimacs;98.02
1-random/001000_000000001200.dimacs;99.26
1-random/001000_000000006000.dimacs;138.97
2-social-networks/00-karate.graph.dimacs;139.1
2-social-networks/01-dolphins.graph.dimacs;140.11
2-social-networks/02-chesapeake.graph.dimacs;140.29
2-social-networks/03-adjnoun.graph.dimacs;249.12

