file;Type;Atime;Btime
1-random/000002_000000000002.dimacs;random;0.08;0.13
1-random/000002_000000000012.dimacs;random;0.08;0.08
1-random/000004_000000000004.dimacs;random;0.06;0.06
1-random/000004_000000000024.dimacs;random;0.10;0.09
1-random/000006_000000000007.dimacs;random;0.08;0.08
1-random/000006_000000000036.dimacs;random;0.10;0.10
1-random/000008_000000000009.dimacs;random;0.07;0.08
1-random/000008_000000000048.dimacs;random;0.13;0.09
1-random/000010_000000000012.dimacs;random;0.07;0.08
1-random/000010_000000000060.dimacs;random;0.24;0.09
1-random/000012_000000000014.dimacs;random;0.08;0.07
1-random/000012_000000000072.dimacs;random;0.39;0.09
1-random/000014_000000000016.dimacs;random;0.07;0.08
1-random/000014_000000000084.dimacs;random;0.49;0.12
1-random/000016_000000000019.dimacs;random;0.08;0.08
1-random/000016_000000000096.dimacs;random;1.08;0.12
1-random/000018_000000000021.dimacs;random;0.11;0.08
1-random/000018_000000000108.dimacs;random;1.41;0.12
1-random/000020_000000000024.dimacs;random;0.10;0.08
1-random/000020_000000000120.dimacs;random;3.30;0.12
1-random/000022_000000000026.dimacs;random;0.11;0.08
1-random/000022_000000000132.dimacs;random;2.72;0.12
1-random/000024_000000000028.dimacs;random;0.11;0.09
1-random/000024_000000000144.dimacs;random;8.60;0.13
1-random/000026_000000000031.dimacs;random;0.11;0.07
1-random/000026_000000000156.dimacs;random;;0.12
1-random/000028_000000000033.dimacs;random;0.52;0.08
1-random/000028_000000000168.dimacs;random;45.42;0.11
1-random/000030_000000000036.dimacs;random;0.10;0.09
1-random/000030_000000000180.dimacs;random;;0.13
1-random/000035_000000000042.dimacs;random;0.11;0.09
1-random/000035_000000000210.dimacs;random;;0.12
1-random/000040_000000000048.dimacs;random;0.14;0.09
1-random/000040_000000000240.dimacs;random;;0.19
1-random/000045_000000000054.dimacs;random;0.12;0.09
1-random/000045_000000000270.dimacs;random;;0.14
1-random/000050_000000000060.dimacs;random;0.13;0.08
1-random/000050_000000000300.dimacs;random;;0.23
1-random/000055_000000000066.dimacs;random;0.13;0.09
1-random/000055_000000000330.dimacs;random;;0.19
1-random/000060_000000000072.dimacs;random;0.12;0.08
1-random/000060_000000000360.dimacs;random;;0.20
1-random/000065_000000000078.dimacs;random;0.15;0.09
1-random/000065_000000000390.dimacs;random;;0.23
1-random/000070_000000000084.dimacs;random;0.16;0.09
1-random/000070_000000000420.dimacs;random;;0.25
1-random/000075_000000000090.dimacs;random;0.30;0.09
1-random/000075_000000000450.dimacs;random;;0.35
2-social-networks/00-karate.graph.dimacs;social-networks;0.51;0.13
2-social-networks/01-dolphins.graph.dimacs;social-networks;;0.95
2-social-networks/02-chesapeake.graph.dimacs;social-networks;1.16;0.17
2-social-networks/03-adjnoun.graph.dimacs;social-networks;;139.82
2-social-networks/04-polbooks.graph.dimacs;social-networks;;51.99
2-social-networks/05-football.graph.dimacs;social-networks;;
2-social-networks/06-celegans_metabolic.graph.dimacs;social-networks;;
2-social-networks/07-jazz.graph.dimacs;social-networks;;
2-social-networks/08-netscience.graph.dimacs;social-networks;;
2-social-networks/09-email.graph.dimacs;social-networks;;
2-social-networks/10-add20.graph.dimacs;social-networks;;
2-social-networks/11-power.graph.dimacs;social-networks;;
2-social-networks/12-uk.graph.dimacs;social-networks;;
3-medium-sized/vc001.dimacs;medium-sized;;;
3-medium-sized/vc003.dimacs;medium-sized;;;
3-medium-sized/vc005.dimacs;medium-sized;;;
3-medium-sized/vc007.dimacs;medium-sized;;;
3-medium-sized/vc009.dimacs;medium-sized;;;
3-medium-sized/vc011.dimacs;medium-sized;;;
1-random/000080_000000000096.dimacs;random;;0.08
1-random/000080_000000000480.dimacs;random;;0.38
1-random/000085_000000000102.dimacs;random;;0.10
1-random/000085_000000000510.dimacs;random;;0.37
1-random/000090_000000000108.dimacs;random;;0.14
1-random/000090_000000000540.dimacs;random;;0.42
1-random/000095_000000000114.dimacs;random;;0.15
1-random/000095_000000000570.dimacs;random;;0.49
1-random/000100_000000000120.dimacs;random;;0.08
1-random/000100_000000000600.dimacs;random;;0.53
1-random/000200_000000000240.dimacs;random;;0.12
1-random/000200_000000001200.dimacs;random;;1.43
1-random/000300_000000000360.dimacs;random;;0.22
1-random/000300_000000001800.dimacs;random;;2.30
1-random/000400_000000000480.dimacs;random;;1.81
1-random/000400_000000002400.dimacs;random;;4.53
1-random/000500_000000000600.dimacs;random;;0.54
1-random/000500_000000003000.dimacs;random;;5.89
1-random/000600_000000000720.dimacs;random;;0.60
1-random/000600_000000003600.dimacs;random;;9.03
1-random/000700_000000000840.dimacs;random;;0.63
1-random/000700_000000004200.dimacs;random;;13.24
1-random/000800_000000000960.dimacs;random;;0.84
1-random/000800_000000004800.dimacs;random;;20.35
1-random/000900_000000001080.dimacs;random;;1.02
1-random/000900_000000005400.dimacs;random;;30.49
1-random/001000_000000001200.dimacs;random;;1.47
1-random/001000_000000006000.dimacs;random;;35.91
2-social-networks/13-add32.graph.dimacs;social-networks;;

