file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.81;2;0;0;;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.07;12;10;2;;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.07;4;0;0;;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.07;24;20;4;;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.07;7;1;1;;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.09;36;30;4;;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.07;9;1;1;;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.11;48;40;7;;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.06;12;2;2;;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.17;60;50;10;;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.06;14;2;1;;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.26;72;60;11;;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.06;16;2;2;;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.46;84;70;13;;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.07;19;3;1;;1;OK;OK;0;
1-random/000016_000000000096.dimacs;1.41;96;80;15;;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.09;21;3;2;;1;OK;OK;0;
1-random/000018_000000000108.dimacs;1.51;108;91;15;;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.10;24;4;2;;1;OK;OK;0;
1-random/000020_000000000120.dimacs;10.22;120;101;18;;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.10;26;4;3;;1;OK;OK;0;
1-random/000022_000000000132.dimacs;21.96;132;112;19;;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.10;28;4;4;;1;OK;OK;0;
1-random/000024_000000000144.dimacs;;144;124;0;;0;;;;
2-social-networks/00-karate.graph.dimacs;0.54;34;78;14;;1;OK;OK;0;
2-social-networks/01-dolphins.graph.dimacs;;62;159;0;;0;;;;
3-medium-sized/vc001.dimacs;;6160;40207;0;;0;;;;
