file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.10;2;0; 0;0;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.11;12;10; 2;5;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.10;4;0; 0;0;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.13;24;20; 4;14;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.11;7;1; 1;2;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.14;36;30; 4;14;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.11;9;1; 1;2;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.13;48;40; 7;37;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.11;12;2; 2;6;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.19;60;50; 10;78;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.10;14;2; 1;2;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.19;72;60; 11;88;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.10;16;2; 2;6;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.18;84;70; 13;143;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.11;19;3; 1;2;1;OK;OK;0;
1-random/000016_000000000096.dimacs;0.19;96;80; 15;271;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.10;21;3; 2;5;1;OK;OK;0;
1-random/000018_000000000108.dimacs;0.21;108;91; 15;198;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.10;24;4; 2;5;1;OK;OK;0;
1-random/000020_000000000120.dimacs;0.24;120;101; 18;540;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.11;26;4; 3;11;1;OK;OK;0;
1-random/000022_000000000132.dimacs;0.29;132;112; 19;518;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.13;28;4; 4;30;1;OK;OK;0;
1-random/000024_000000000144.dimacs;0.33;144;124; 22;939;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.15;31;6; 5;47;1;OK;OK;0;
1-random/000026_000000000156.dimacs;0.32;156;131; 23;1634;1;OK;OK;0;
1-random/000028_000000000033.dimacs;0.12;33;8; 4;16;1;OK;OK;0;
1-random/000028_000000000168.dimacs;0.31;168;152; 26;2668;1;OK;OK;0;
1-random/000030_000000000036.dimacs;0.13;36;8; 5;33;1;OK;OK;0;
1-random/000030_000000000180.dimacs;0.37;180;167; 27;2391;1;OK;OK;0;
1-random/000035_000000000042.dimacs;0.13;42;7; 6;95;1;OK;OK;0;
1-random/000035_000000000210.dimacs;0.31;210;202; 26;1078;1;OK;OK;0;
1-random/000040_000000000048.dimacs;0.14;48;19; 7;49;1;OK;OK;0;
1-random/000040_000000000240.dimacs;0.59;240;244; 35;12167;1;OK;OK;0;
1-random/000045_000000000054.dimacs;0.15;54;9; 6;59;1;OK;OK;0;
1-random/000045_000000000270.dimacs;0.79;270;291; 39;11153;1;OK;OK;0;
1-random/000050_000000000060.dimacs;0.20;60;13; 9;366;1;OK;OK;0;
1-random/000050_000000000300.dimacs;1.68;300;339; 46;45801;1;OK;OK;0;
1-random/000055_000000000066.dimacs;0.17;66;14; 8;129;1;OK;OK;0;
1-random/000055_000000000330.dimacs;1.74;330;399; 48;40777;1;OK;OK;0;
1-random/000060_000000000072.dimacs;0.29;72;13; 10;869;1;OK;OK;0;
1-random/000060_000000000360.dimacs;2.30;360;436; 50;44258;1;OK;OK;0;
1-random/000065_000000000078.dimacs;0.22;78;20; 11;730;1;OK;OK;0;
1-random/000065_000000000390.dimacs;5.07;390;547; 59;115602;1;OK;OK;0;
1-random/000070_000000000084.dimacs;0.26;84;21; 12;2337;1;OK;OK;0;
1-random/000070_000000000210.dimacs;;210;259; 0;;0;;;;
2-social-networks/00-karate.graph.dimacs;0.21;34;78; 14;225;1;OK;OK;0;
2-social-networks/01-dolphins.graph.dimacs;0.68;62;159; 34;51534;1;OK;OK;0;
2-social-networks/02-chesapeake.graph.dimacs;0.27;39;170; 22;1148;1;OK;OK;0;
2-social-networks/03-adjnoun.graph.dimacs;;112;425; 0;;0;;;;
3-medium-sized/vc001.dimacs;;6160;40207; 0;;0;;;;
