file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.10;2;0; 0;0;1;OK;OK;0;
1-random/000002_000000000012.dimacs;0.11;12;10; 2;5;1;OK;OK;0;
1-random/000004_000000000004.dimacs;0.10;4;0; 0;0;1;OK;OK;0;
1-random/000004_000000000024.dimacs;0.12;24;20; 4;14;1;OK;OK;0;
1-random/000006_000000000007.dimacs;0.10;7;1; 1;2;1;OK;OK;0;
1-random/000006_000000000036.dimacs;0.14;36;30; 4;14;1;OK;OK;0;
1-random/000008_000000000009.dimacs;0.12;9;1; 1;2;1;OK;OK;0;
1-random/000008_000000000048.dimacs;0.14;48;40; 7;37;1;OK;OK;0;
1-random/000010_000000000012.dimacs;0.10;12;2; 2;6;1;OK;OK;0;
1-random/000010_000000000060.dimacs;0.14;60;50; 10;78;1;OK;OK;0;
1-random/000012_000000000014.dimacs;0.13;14;2; 1;2;1;OK;OK;0;
1-random/000012_000000000072.dimacs;0.16;72;60; 11;88;1;OK;OK;0;
1-random/000014_000000000016.dimacs;0.10;16;2; 2;6;1;OK;OK;0;
1-random/000014_000000000084.dimacs;0.17;84;70; 13;143;1;OK;OK;0;
1-random/000016_000000000019.dimacs;0.11;19;3; 1;2;1;OK;OK;0;
1-random/000016_000000000096.dimacs;0.18;96;80; 15;271;1;OK;OK;0;
1-random/000018_000000000021.dimacs;0.12;21;3; 2;5;1;OK;OK;0;
1-random/000018_000000000108.dimacs;0.20;108;91; 15;198;1;OK;OK;0;
1-random/000020_000000000024.dimacs;0.11;24;4; 2;5;1;OK;OK;0;
1-random/000020_000000000120.dimacs;0.21;120;101; 18;540;1;OK;OK;0;
1-random/000022_000000000026.dimacs;0.14;26;4; 3;11;1;OK;OK;0;
1-random/000022_000000000132.dimacs;0.29;132;112; 19;518;1;OK;OK;0;
1-random/000024_000000000028.dimacs;0.18;28;4; 4;30;1;OK;OK;0;
1-random/000024_000000000144.dimacs;0.30;144;124; 22;939;1;OK;OK;0;
1-random/000026_000000000031.dimacs;0.13;31;6; 5;47;1;OK;OK;0;
1-random/000026_000000000156.dimacs;0.24;156;131; 23;1634;1;OK;OK;0;
1-random/000028_000000000033.dimacs;0.13;33;8; 4;16;1;OK;OK;0;
1-random/000028_000000000168.dimacs;0.28;168;152; 26;2668;1;OK;OK;0;
1-random/000030_000000000036.dimacs;0.13;36;8; 5;33;1;OK;OK;0;
1-random/000030_000000000180.dimacs;0.28;180;167; 27;2391;1;OK;OK;0;
1-random/000035_000000000042.dimacs;0.11;42;7; 6;95;1;OK;OK;0;
1-random/000035_000000000210.dimacs;0.35;210;202; 26;1078;1;OK;OK;0;
1-random/000040_000000000048.dimacs;0.15;48;19; 7;49;1;OK;OK;0;
1-random/000040_000000000240.dimacs;0.50;240;244; 35;12167;1;OK;OK;0;
1-random/000045_000000000054.dimacs;0.12;54;9; 6;59;1;OK;OK;0;
1-random/000045_000000000270.dimacs;0.68;270;291; 39;11153;1;OK;OK;0;
1-random/000050_000000000060.dimacs;0.16;60;13; 9;366;1;OK;OK;0;
1-random/000050_000000000300.dimacs;1.26;300;339; 46;45803;1;OK;OK;0;
1-random/000055_000000000066.dimacs;0.15;66;14; 8;129;1;OK;OK;0;
1-random/000055_000000000330.dimacs;1.35;330;399; 48;40786;1;OK;OK;0;
1-random/000060_000000000072.dimacs;0.18;72;13; 10;869;1;OK;OK;0;
1-random/000060_000000000360.dimacs;1.62;360;436; 50;44258;1;OK;OK;0;
1-random/000065_000000000078.dimacs;0.18;78;20; 11;730;1;OK;OK;0;
1-random/000065_000000000390.dimacs;3.84;390;547; 59;115596;1;OK;OK;0;
1-random/000070_000000000084.dimacs;0.17;84;21; 12;2337;1;OK;OK;0;
1-random/000070_000000000210.dimacs;;210;259; 0;;0;;;;
2-social-networks/00-karate.graph.dimacs;0.21;34;78; 14;225;1;OK;OK;0;
2-social-networks/01-dolphins.graph.dimacs;0.49;62;159; 34;51206;1;OK;OK;0;
2-social-networks/02-chesapeake.graph.dimacs;0.21;39;170; 22;1175;1;OK;OK;0;
2-social-networks/03-adjnoun.graph.dimacs;;112;425; 0;;0;;;;
