file;time;n;m;solsize;recsteps;finished;VC-check;size-check;diff-to-opt;last-k-diff-to-opt
1-random/000002_000000000002.dimacs;0.12;2;0; 2;;1;OK;>>INCORRECT Size; Solution too large:<< ;2;
1-random/000002_000000000012.dimacs;0.15;12;10; 12;;1;OK;>>INCORRECT Size; Solution too large:<< ;10;
1-random/000004_000000000004.dimacs;0.09;4;0; 4;;1;OK;>>INCORRECT Size; Solution too large:<< ;4;
1-random/000004_000000000024.dimacs;0.22;24;20; 24;;1;OK;>>INCORRECT Size; Solution too large:<< ;20;
1-random/000006_000000000007.dimacs;0.12;7;1; 7;;1;OK;>>INCORRECT Size; Solution too large:<< ;6;
1-random/000006_000000000036.dimacs;0.31;36;30; 36;;1;OK;>>INCORRECT Size; Solution too large:<< ;32;
1-random/000008_000000000009.dimacs;0.13;9;1; 9;;1;OK;>>INCORRECT Size; Solution too large:<< ;8;
1-random/000008_000000000048.dimacs;0.41;48;40; 48;;1;OK;>>INCORRECT Size; Solution too large:<< ;41;
1-random/000010_000000000012.dimacs;0.16;12;2; 12;;1;OK;>>INCORRECT Size; Solution too large:<< ;10;
1-random/000010_000000000060.dimacs;0.49;60;50; 60;;1;OK;>>INCORRECT Size; Solution too large:<< ;50;
1-random/000012_000000000014.dimacs;0.16;14;2; 14;;1;OK;>>INCORRECT Size; Solution too large:<< ;13;
1-random/000012_000000000072.dimacs;0.58;72;60; 72;;1;OK;>>INCORRECT Size; Solution too large:<< ;61;
1-random/000014_000000000016.dimacs;0.19;16;2; 16;;1;OK;>>INCORRECT Size; Solution too large:<< ;14;
1-random/000014_000000000084.dimacs;0.66;84;70; 84;;1;OK;>>INCORRECT Size; Solution too large:<< ;71;
1-random/000016_000000000019.dimacs;0.20;19;3; 19;;1;OK;>>INCORRECT Size; Solution too large:<< ;18;
